Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
Bobst Group SA;https://www.bobst.com/;A;89;Starker Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 0 mit D, 5 ohne Datenbasis. Kernprodukt laut Recherche: Maschinen fuer Verpackungsdruck und -verarbeitung: Flexo-, Tiefdruckmaschinen, Stanzen, Kaschieren.;Hoch, recherchiert, 69 Prozent der Kriterien belegt;1031 Mex (VD);Schweiz;Maschinen fuer Verpackungsdruck und -verarbeitung: Flexo-, Tiefdruckmaschinen, Stanzen, Kaschieren;5.400 (Recherche);1.471 (Recherche);Familie Bobst (JBF Finance SA);"Startliste; Websuche Flexodruckmaschinen Hersteller";Wikipedia: international taetiger Schweizer Hersteller von Maschinen und Anlagen fuer die Verpackungsindustrie (Faltschachtel, Wellpappe, flexible Verpackung).;https://www.linkedin.com/company/bobst;A;Kernprodukt laut Recherche: Maschinen fuer Verpackungsdruck und -verarbeitung: Flexo-, Tiefdruckmaschinen, Stanzen, Kaschieren.;C;Sitz 1031 Mex (VD), Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;A;5.400 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Bobst_Group (Stand 2017)), im ICP-Band 1.001 bis 10.000.;A;1,5 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Bobst_Group (GJ 2019: 1,636 Mrd. CHF, umgerechnet zum Jahresmittelkurs 2019 von 1,112 CHF/EUR)), im ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 4 Fundstellen: accuracy (2), repeatab (2).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;3 Begriffe mit 22 Fundstellen auf 2 Seiten: uptime (9), maintenance (7), spare part (6).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;2 Begriffe mit 4 Fundstellen auf 2 Seiten: Supplier (2), Purchasing (2).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.
Heidelberger Druckmaschinen AG;https://www.heidelberg.com/global/de/index.jsp;A;89;Starker Fit;kein Ausschlusskriterium;9 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen, Digitaldruck, Etikettendruck, Postpress. Auf der Website 219 Fundstellen zu Kernbegriffen: Digitaldruck (65), Offsetdruck (61), Druckmaschine (49), Flexodruck (21).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;69115 Heidelberg (Werk Wiesloch/Walldorf);Deutschland;Bogenoffsetdruckmaschinen, Digitaldruck, Etikettendruck, Postpress;9.309 (Recherche);2.280 (Recherche);;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";Wikipedia: weltweit fuehrender Hersteller von Bogenoffset-Druckmaschinen einschliesslich umfangreicher Loesungen fuer die Printmedienindustrie.;https://www.linkedin.com/company/heidelberg;A;Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen, Digitaldruck, Etikettendruck, Postpress. Auf der Website 219 Fundstellen zu Kernbegriffen: Digitaldruck (65), Offsetdruck (61), Druckmaschine (49), Flexodruck (21).;A;Sitz 69115 Heidelberg (Werk Wiesloch/Walldorf), Deutschland, in der Zielregion Heidelberg.;A;9.309 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Heidelberger_Druckmaschinen (Stand 31.03.2025)), im ICP-Band 1.001 bis 10.000.;A;2,3 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Heidelberger_Druckmaschinen (GJ 2024/25)), im ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: Toleranz (1), Maßhaltigkeit (1).;A;4 Begriffe mit 42 Fundstellen auf 10 Seiten: Anleger (20), Rotation (20), Druckwerk (1), Register (1).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;5 Begriffe mit 143 Fundstellen auf 10 Seiten: Ersatzteil (81), Wartung (21), Serviceteil (20), maintenance (20).;C;Schwacher Beleg, nur Großserie (1) auf 10 Seiten.;A;4 Begriffe mit 8 Fundstellen auf 10 Seiten: Entwicklung (4), Innovation (2), Forschung und Entwicklung (1), F&E (1).;A;6 Begriffe mit 170 Fundstellen auf 10 Seiten: Lieferant (84), Einkauf (41), Lieferantenportal (20), Procurement (20).;A;3 Begriffe mit 50 Fundstellen auf 10 Seiten: zertifiziert (27), Zertifizierung (20), ISO 9001 (3).
Koenig & Bauer AG;https://www.koenig-bauer.com/de/;A;87;Starker Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Bogen- und Rollenoffset-, Flexo-, Blech-, Banknoten- und Digitaldruckmaschinen. Auf der Website 147 Fundstellen zu Kernbegriffen: Offsetdruck (27), Digitaldruck (24), Bogenoffset (17), Wellpappe (16).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;97080 Würzburg;Deutschland;Bogen- und Rollenoffset-, Flexo-, Blech-, Banknoten- und Digitaldruckmaschinen;5.526 (Recherche);1.302 (Recherche);;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";"Wikipedia-Infobox Branche Druckmaschinen; fuehrende Marktpositionen im Bogenoffset Grossformat, Verpackungs-, Zeitungs- und Blechdruck, rund 80 Prozent Weltmarktanteil Banknotendruckmaschinen.";https://www.linkedin.com/company/23394;A;Kernprodukt laut Recherche: Bogen- und Rollenoffset-, Flexo-, Blech-, Banknoten- und Digitaldruckmaschinen. Auf der Website 147 Fundstellen zu Kernbegriffen: Offsetdruck (27), Digitaldruck (24), Bogenoffset (17), Wellpappe (16).;B;Sitz 97080 Würzburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;5.526 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Koenig_%26_Bauer (Stand 31.12.2025)), im ICP-Band 1.001 bis 10.000.;A;1,3 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Koenig_%26_Bauer (GJ 2025)), im ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 5 Fundstellen: präzise (4), Präzision (1).;A;3 Begriffe mit 34 Fundstellen auf 10 Seiten: Bogen (30), Register (3), Rotation (1).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 50 Fundstellen auf 10 Seiten: Wartung (29), Retrofit (11), Ersatzteil (5), Verfügbarkeit (5).;B;2 Begriffe mit 2 Fundstellen: Hochleistung (1), high-speed (1).;A;2 Begriffe mit 11 Fundstellen auf 10 Seiten: Entwicklung (7), Innovation (4).;A;3 Begriffe mit 26 Fundstellen auf 10 Seiten: Einkauf (19), Lieferant (6), Einkaufsbedingungen (1).;B;1 Begriffe mit 1 Fundstellen: Zertifizierung (1).
Windmöller & Hölscher SE & Co. KG;https://www.wh.group/int/en/;A;85;Starker Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 0 mit D, 3 ohne Datenbasis. Kernprodukt laut Recherche: Flexo- und Tiefdruckmaschinen, Extrusions- und Verarbeitungsanlagen. Auf der Website 12 Fundstellen zu Kernbegriffen: Druckmaschine (4), Druckwerk (4), Flexodruck (2), Tiefdruck (2).;Hoch, recherchiert, 80 Prozent der Kriterien belegt;49525 Lengerich;Deutschland;Flexo- und Tiefdruckmaschinen, Extrusions- und Verarbeitungsanlagen;3.400 (Recherche);969 (Recherche);Familienbesitz;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";Wikipedia: Maschinen fuer flexible Verpackung in drei Sparten, darunter Druckmaschinen (Flexo- und Tiefdruck).;https://www.linkedin.com/company/windmoeller-&-hoelscher-group;A;Kernprodukt laut Recherche: Flexo- und Tiefdruckmaschinen, Extrusions- und Verarbeitungsanlagen. Auf der Website 12 Fundstellen zu Kernbegriffen: Druckmaschine (4), Druckwerk (4), Flexodruck (2), Tiefdruck (2).;B;Sitz 49525 Lengerich, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;3.400 Mitarbeiter (Recherche, Gruppe: https://www.wh.group/de/unternehmen/w_h_group/ (2026: Rund 3.400 Mitarbeiter)), im ICP-Band 1.001 bis 10.000.;B;969 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Windm%C3%B6ller_%26_H%C3%B6lscher (GJ 2021)), knapp unter dem ICP-Band rund 2 Mrd. EUR.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;B;2 Begriffe mit 6 Fundstellen: Druckwerk (4), printing unit (2).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;2 Begriffe mit 14 Fundstellen auf 2 Seiten: Retrofit (10), maintenance (4).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Entwicklung (3) auf 2 Seiten.;A;4 Begriffe mit 12 Fundstellen auf 2 Seiten: Supplier (5), Einkauf (3), Lieferant (2), Purchasing (2).;A;2 Begriffe mit 4 Fundstellen auf 2 Seiten: zertifiziert (2), certified (2).
Heidelberg Web Carton Converting GmbH;https://www.gallus-group.com/de/index.jsp;B;79;Guter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Rotationsstanzen und Druckmaschinen fuer Faltschachteln. Auf der Website 225 Fundstellen zu Kernbegriffen: Siebdruck (115), Etikettendruck (45), Druckwerk (24), Druckmaschine (16).;Mittel, nur Website, 73 Prozent der Kriterien belegt;92637 Weiden in der Oberpfalz;Deutschland;Rotationsstanzen und Druckmaschinen fuer Faltschachteln;k. A.;k. A.;Heidelberger Druckmaschinen AG;"VDMA Mitgliederverzeichnis; wer-zu-wem Maschinenbauer";"VDMA-Mitgliederliste: Heidelberg Web Carton Converting GmbH, 92637 Weiden, Website gallus-group.com; Weiden ist laut Heidelberg-Karriereseite Entwicklungs- und Fertigungsstandort.";https://ch.linkedin.com/company/gallus-group;A;Kernprodukt laut Recherche: Rotationsstanzen und Druckmaschinen fuer Faltschachteln. Auf der Website 225 Fundstellen zu Kernbegriffen: Siebdruck (115), Etikettendruck (45), Druckwerk (24), Druckmaschine (16).;B;Sitz 92637 Weiden in der Oberpfalz, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Mitarbeiterzahl unklar, widersprüchliche Angaben auf der Website (25, 130, 275).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;1 Begriffe mit 6 Fundstellen: Präzision (6).;A;1 Begriffe mit 24 Fundstellen auf 8 Seiten: Druckwerk (24).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 8 Fundstellen auf 8 Seiten: Ersatzteil (2), Originalteil (2), Wartung (2), Verfügbarkeit (2).;A;2 Begriffe mit 27 Fundstellen auf 8 Seiten: m/min (15), Produktionsgeschwindigkeit (12).;A;3 Begriffe mit 5 Fundstellen auf 8 Seiten: Entwicklung (2), R&D (2), Innovation (1).;B;1 Begriffe mit 2 Fundstellen: Einkauf (2).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Tamponcolor TC Druckmaschinen GmbH;https://www.tamponcolor.de/de/;B;77;Guter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Tampondruckmaschinen und vollautomatische Drucksysteme. Auf der Website 185 Fundstellen zu Kernbegriffen: Tampondruck (93), Druckmaschine (59), Drucksystem (33).;Mittel, nur Website, 73 Prozent der Kriterien belegt;63263 Neu-Isenburg;Deutschland;Tampondruckmaschinen und vollautomatische Drucksysteme;k. A.;k. A.;;industrystock Tampondruck;"Website: Tampondruckmaschinen fuer komplexe Bauteile Made in Germany; TAMPONCOLOR entwickelt Tampondruckloesungen fuer die Serienfertigung.";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Tampondruckmaschinen und vollautomatische Drucksysteme. Auf der Website 185 Fundstellen zu Kernbegriffen: Tampondruck (93), Druckmaschine (59), Drucksystem (33).;B;Sitz 63263 Neu-Isenburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;4 Begriffe mit 8 Fundstellen auf 6 Seiten: Wiederholgenauigkeit (3), präzise (2), Toleranz (2), Präzision (1).;A;2 Begriffe mit 14 Fundstellen auf 6 Seiten: Rotation (12), Register (2).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;1 Begriffe mit 7 Fundstellen: Verschleißteil (7).;A;5 Begriffe mit 8 Fundstellen auf 6 Seiten: Taktzahl (3), Serienfertigung (2), Produktionsgeschwindigkeit (1), Hochleistung (1).;B;2 Begriffe mit 5 Fundstellen: Entwicklung (4), Konstruktion (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;A;4 Begriffe mit 20 Fundstellen auf 6 Seiten: ISO 9001 (8), zertifiziert (7), Dokumentation (4), Qualitätssicherung (1).
Teca-Print AG;https://teca-print.com/de/;B;77;Guter Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Tampondruckmaschinen und Peripherie. Auf der Website 468 Fundstellen zu Kernbegriffen: Tampondruck (261), Druckmaschine (170), Drucksystem (34), Siebdruck (2).;Mittel, nur Website, 73 Prozent der Kriterien belegt;8240 Thayngen;Schweiz;Tampondruckmaschinen und Peripherie;k. A.;k. A.;;Startliste;"Website: Wir entwickeln, konstruieren und bauen unsere Druckmaschinen in Thayngen; seit 1973.";https://www.linkedin.com/company/teca-print-ag;A;Kernprodukt laut Recherche: Tampondruckmaschinen und Peripherie. Auf der Website 468 Fundstellen zu Kernbegriffen: Tampondruck (261), Druckmaschine (170), Drucksystem (34), Siebdruck (2).;C;Sitz 8240 Thayngen, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;3 Begriffe mit 10 Fundstellen auf 10 Seiten: Präzision (7), präzise (2), Wiederholgenauigkeit (1).;A;3 Begriffe mit 6 Fundstellen auf 10 Seiten: Register (3), Bogen (2), Druckwerk (1).;C;Schwacher Beleg, nur Servomotor (2) auf 10 Seiten.;A;3 Begriffe mit 124 Fundstellen auf 10 Seiten: Wartung (63), Retrofit (31), Ersatzteil (30).;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;A;6 Begriffe mit 52 Fundstellen auf 10 Seiten: F & E (30), Entwicklung (9), Innovation (7), Konstruktion (4).;A;3 Begriffe mit 48 Fundstellen auf 10 Seiten: Lieferant (46), Einkauf (1), Supplier (1).;A;4 Begriffe mit 37 Fundstellen auf 10 Seiten: ISO 9001 (33), zertifiziert (2), Qualitätssicherung (1), Qualitätsmanagement (1).
Hunkeler AG;https://www.hunkeler.ch/;B;75;Guter Fit;kein Ausschlusskriterium;6 von 12 Kriterien mit A, 0 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Papierverarbeitungssysteme fuer Digitaldruck (Ab-/Aufwickler, Schneid- und Falzmodule). Auf der Website 14 Fundstellen zu Kernbegriffen: Digitaldruck (9), Druckmaschine (4), Inkjet (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;4806 Wikon;Schweiz;Papierverarbeitungssysteme fuer Digitaldruck (Ab-/Aufwickler, Schneid- und Falzmodule);k. A.;k. A.;Müller Martini Gruppe;Startliste;Website mullermartini.com: die zur Gruppe gehoerende Hunkeler AG ist seit ueber 100 Jahren im Bereich der Papierverarbeitung aktiv.;https://www.linkedin.com/company/hunkeler;B;Randbereich der Zielbranche laut Recherche: Papierverarbeitungssysteme fuer Digitaldruck (Ab-/Aufwickler, Schneid- und Falzmodule). Auf der Website 14 Fundstellen zu Kernbegriffen: Digitaldruck (9), Druckmaschine (4), Inkjet (1).;C;Sitz 4806 Wikon, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;3 Begriffe mit 7 Fundstellen auf 6 Seiten: Präzision (3), precision (3), Genauigkeit (1).;B;2 Begriffe mit 5 Fundstellen: Bogen (3), printing unit (2).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 26 Fundstellen auf 6 Seiten: Ersatzteil (21), Wartung (3), Verfügbarkeit (2).;A;3 Begriffe mit 4 Fundstellen auf 6 Seiten: high-speed (2), Hochleistung (1), m/min (1).;A;5 Begriffe mit 58 Fundstellen auf 6 Seiten: Innovation (51), Entwicklung (3), Patent (2), Konstrukteur (1).;A;2 Begriffe mit 13 Fundstellen auf 6 Seiten: Verhaltenskodex (12), Supply Chain (1).;A;3 Begriffe mit 3 Fundstellen auf 6 Seiten: ISO 9001 (1), Zertifizierung (1), quality assurance (1).
Bobst Bielefeld GmbH;https://www.bobst.com/;B;74;Guter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 0 mit D, 7 ohne Datenbasis. Kernprodukt laut Recherche: CI-Flexodruckmaschinen (vormals Fischer & Krecke).;Niedrig, nur wenige Seiten, 42 Prozent der Kriterien belegt;33609 Bielefeld;Deutschland;CI-Flexodruckmaschinen (vormals Fischer & Krecke);k. A.;k. A.;Bobst Group SA;"Startliste (Fischer & Krecke); deutsche-exportdatenbank Flexodruckmaschinen";"deutsche-exportdatenbank: Bobst Bielefeld GmbH als Hersteller von Flexodruckmaschinen gelistet; Standort ging aus Fischer & Krecke hervor.";https://www.linkedin.com/company/bobst;A;Kernprodukt laut Recherche: CI-Flexodruckmaschinen (vormals Fischer & Krecke).;B;Sitz 33609 Bielefeld, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;B;2 Begriffe mit 4 Fundstellen: accuracy (2), repeatab (2).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;3 Begriffe mit 22 Fundstellen auf 2 Seiten: uptime (9), maintenance (7), spare part (6).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;2 Begriffe mit 4 Fundstellen auf 2 Seiten: Supplier (2), Purchasing (2).;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.
Koenig & Bauer Sheetfed AG & Co. KG;https://www.koenig-bauer.com/de/;B;73;Guter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 0 mit D. Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen (Rapida-Baureihen). Auf der Website 147 Fundstellen zu Kernbegriffen: Offsetdruck (27), Digitaldruck (24), Bogenoffset (17), Wellpappe (16).;Mittel, nur Website, 100 Prozent der Kriterien belegt;01445 Radebeul;Deutschland;Bogenoffsetdruckmaschinen (Rapida-Baureihen);5.500 (Website);1.100 (abgeleitet);Koenig & Bauer AG;Konzernstruktur Koenig & Bauer (Wikipedia);Wikipedia: Produktionsstandort Radebeul bei Dresden fuer den Bogenoffsetbereich des Konzerns.;https://www.linkedin.com/company/23394;A;Kernprodukt laut Recherche: Bogenoffsetdruckmaschinen (Rapida-Baureihen). Auf der Website 147 Fundstellen zu Kernbegriffen: Offsetdruck (27), Digitaldruck (24), Bogenoffset (17), Wellpappe (16).;B;Sitz 01445 Radebeul, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;5.500 Mitarbeiter stehen auf der Website, die Zahl gehört aber zur Gruppe (Koenig & Bauer AG). Zahl der Einzelgesellschaft unbelegt, in der Nachprüfung zu klären.;B;1,1 Mrd. EUR (aus 5.500 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), im ICP-Band, Wert nur abgeleitet rund 2 Mrd. EUR.;B;2 Begriffe mit 5 Fundstellen: präzise (4), Präzision (1).;A;3 Begriffe mit 34 Fundstellen auf 10 Seiten: Bogen (30), Register (3), Rotation (1).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 50 Fundstellen auf 10 Seiten: Wartung (29), Retrofit (11), Ersatzteil (5), Verfügbarkeit (5).;B;2 Begriffe mit 2 Fundstellen: Hochleistung (1), high-speed (1).;A;2 Begriffe mit 11 Fundstellen auf 10 Seiten: Entwicklung (7), Innovation (4).;A;3 Begriffe mit 26 Fundstellen auf 10 Seiten: Einkauf (19), Lieferant (6), Einkaufsbedingungen (1).;B;1 Begriffe mit 1 Fundstellen: Zertifizierung (1).
